User Id,User Name,location,Lat,Lon,USA
1267858434143268865,aeupc8832l,Noida,28.535516100000002,77.3910265,0.0
16169262,oz_llc,Ohio & Michigan,41.5811111,-83.545,1.0
724972204279119872,mahashakti92,"Bhopal, India",23.2599333,77.412615,0.0
2463614148,thealehouse1034,"Hoboken, NJ",40.7439905,-74.0323626,1.0
3269447594,Stellarjay2,The Gem State Idaho,44.0682019,-114.74204080000001,1.0
759680708063424513,sendawful,,,,
29718511,Littleredhood,Scotland,56.49067120000001,-4.2026458,0.0
78120127,xxnavygirl,Texas,31.968598800000002,-99.9018131,1.0
262697431,BBRegister,"Boothbay Harbor, Maine",43.852304499999995,-69.6281014,1.0
1102726262,PortableGW,"New York, NY",40.7127753,-74.0059728,1.0
52260914,rayleengale,"Kansas, USA",39.011902,-98.4842465,1.0
261019719,brewterrafirma,"Traverse City, MI",44.76305670000001,-85.6206317,1.0
945201,bonder,"Seattle, WA",47.6062095,-122.33207079999998,1.0
783381910143791104,musheer23405575,"Allahabad, India",25.435801100000003,81.846311,0.0
3020273926,kpatterson1216,"Champaign/Urbana, Il",40.116420399999996,-88.2433829,1.0
82923704,CTAdvertising,"Windsor Locks, CT",41.924291700000005,-72.64544690000001,1.0
51221472,KorineRobison,"Perry,NY",42.7156175,-78.0055618,1.0
78711888,SpudB1throwback,Canton Ohio,40.7989473,-81.378447,1.0
889064112,Charlotte_Huff,"Fort Worth, Texas",32.7554883,-97.3307658,1.0
825411667681013761,Lgenek1,"New York, USA",40.7127753,-74.0059728,1.0
2384033509,NiedBeer,Traverse City Michigan,44.76305670000001,-85.6206317,1.0
1101507957395804160,gifts4u8,,,,
2874309335,thefittingroom,"Dallas, TX",32.7766642,-96.7969879,1.0
184641635,TravisDHd,"Woodmore, MD",38.921222799999995,-76.80302590000001,1.0
32152763,Crysanne1,Covering the Globe,,,
18581178,eigenseide,Eastern Washington,47.491028299999996,-117.58623610000001,1.0
2977083957,LtGovHochulNY,,,,
35098906,norisgirl,USA,37.09024,-95.712891,1.0
