Tweet Text,Tweet Datetime,Tweet Id,User Id,User Name,Tweet Coordinates,Place Info,Country,Hashtags,Retweets,Favorites,Language,Source,Replied Tweet Id,Replied Tweet User Id
"RT @GretaMiddendor1: I refuse to wear a mask and gloves; or take a vaccine, all of which will harm my immune system.  #NoMask #MyBodyMyChoi…",2020-05-07 02:16:55,1258219229737897996,801298237613375489,MarkJHattemer,,,,['NoMask'],10,0,en,Twitter for iPhone,,
"@dbongino @LisaCul63274948 Just curious--if face masks r so vital for folks out in public-how come none of the folks in this presser/any presser for that matter ever wear them? 
#NoMask",2020-05-07 11:56:44,1258365144096223233,2960772875,Constituents18,,,,['NoMask'],1,1,en,Twitter Web App,1.2583613305972326e+18,232901331.0
"My hair salon won’t see me unless I wear a mask. I told her no and that the real experts tell us that breathing in your own used air puts you at risk. I won’t comply with this unlawful mandate. @GovKemp 
How about the real health facts please. See Dr. Fauci’s take 👇
#nomask https://t.co/pVguc97FMh",2020-05-07 15:34:24,1258419923409403905,264554662,MaryOrtwerth,,,,['nomask'],2,5,en,Twitter for iPhone,,
@HarveyStaub1 @HLAurora63 I made up my mind from day one: NO MASK. Oxygen over stupidity. #NoMask #OxygenOverStupidity,2020-05-07 17:46:36,1258453189893984256,718831710,Sleeping_Gipsy,,,,"['NoMask', 'OxygenOverStupidity']",8,26,en,Twitter for Android,1.2584408393380987e+18,7.874733610562396e+17
RT @Sleeping_Gipsy: @HarveyStaub1 @HLAurora63 I made up my mind from day one: NO MASK. Oxygen over stupidity. #NoMask #OxygenOverStupidity,2020-05-07 17:46:49,1258453245875413000,787473361056239616,HarveyStaub1,,,,"['NoMask', 'OxygenOverStupidity']",8,0,en,Twitter Web App,,
@KatieHill4CA #NoMask,2020-05-07 18:12:15,1258459648463699970,80655055,davidburge24,,,,['NoMask'],0,0,und,Twitter for Android,1.2581494248717353e+18,8.392262696276214e+17
@jclisenby @FloridaFreedom4 @wdwfacts Yes you are absolutely correct!!!! #NoMask #endfacismnow #mychoice #ConstitutionOverCoronavirus,2020-05-07 19:54:28,1258485370947133440,1095574173508808705,Caleb60279736,,,,"['NoMask', 'endfacismnow', 'mychoice', 'ConstitutionOverCoronavirus']",1,1,en,Twitter Web App,1.2584606085985976e+18,22682217.0
"@Sleeping_Gipsy @HarveyStaub1 @HLAurora63 Same here. Not even once did I wear a mask since this #Plandemic started. I don't think I even own one, lol. Mask is submission, unless you are a surgeon. And a means to mind control. #COVID19 #NoMask 
Fear &amp; stress are way more dangerous than a virus.",2020-05-07 20:40:04,1258496844067418118,1128140099521261569,AkChill27,,,,"['Plandemic', 'COVID19', 'NoMask']",5,12,en,Twitter for Android,1.2584531898939843e+18,718831710.0
"Pence: ""I bring you GREETINGS &amp; PPEs from the PRESIDENT and COVID-19 from the President's VALET!"" #Pence #PPEs #NoMask #Trump #Woodbine

https://t.co/7jirwOXlUg",2020-05-07 21:13:59,1258505379580833792,740014056057147392,BrutalPublicist,,,,"['Pence', 'PPEs', 'NoMask', 'Trump', 'Woodbine']",1,4,en,Twitter for Android,,
"RT @BrutalPublicist: Pence: ""I bring you GREETINGS &amp; PPEs from the PRESIDENT and COVID-19 from the President's VALET!"" #Pence #PPEs #NoMask…",2020-05-07 21:16:41,1258506062644121601,1894103203,Berlidge,,,,"['Pence', 'PPEs', 'NoMask']",1,0,en,Twitter for iPhone,,
"How to not wear a face mask when required https://t.co/pM652Ss3cj via @YouTube
#coronavirus #nomask",2020-05-07 21:35:17,1258510742229118976,1023950512004194304,RaphaelTiriel,,,,"['coronavirus', 'nomask']",0,0,en,Twitter Web Client,,
